year_month,commodity,cpi_category,median_price_ghc,n_markets
2021-05,Maize,Food & Beverages,2.78,13
2021-05,Eggs,Food & Beverages,2.535,10
2021-05,Chicken,Food & Beverages,7.635,10
2021-05,Cassava,Food & Beverages,1.42,10
2021-05,Beans/Cowpea,Food & Beverages,6.0,9
2021-05,Millet,Food & Beverages,4.395,10
2021-06,Yam,Food & Beverages,7.645,12
2021-06,Tomatoes,Food & Beverages,5.3149999999999995,12
2021-06,Rice,Food & Beverages,5.12,12
2021-06,Plantain,Food & Beverages,2.26,11
2021-06,Pepper,Food & Beverages,4.1,13
2021-06,Onions,Food & Beverages,4.95,10
2021-06,Sorghum,Food & Beverages,2.6950000000000003,8
2021-06,Maize,Food & Beverages,3.34,13
2021-06,Fish (fresh),Food & Beverages,10.185,6
2021-06,Eggs,Food & Beverages,5.67,10
2021-06,Chicken,Food & Beverages,3.355,10
2021-06,Cassava,Food & Beverages,6.135,6
2021-06,Beans/Cowpea,Food & Beverages,2.54,13
2021-06,Millet,Food & Beverages,4.34,13
2021-07,Yam,Food & Beverages,4.395,10
2021-07,Tomatoes,Food & Beverages,3.85,13
2021-07,Sorghum,Food & Beverages,3.295,12
2021-07,Rice,Food & Beverages,5.99,15
2021-07,Plantain,Food & Beverages,5.664999999999999,12
2021-07,Pepper,Food & Beverages,4.035,12
2021-07,Onions,Food & Beverages,3.21,13
2021-07,Fish (fresh),Food & Beverages,10.695,10
2021-07,Maize,Food & Beverages,3.63,16
2021-07,Eggs,Food & Beverages,2.315,8
2021-07,Chicken,Food & Beverages,7.47,8
2021-07,Cassava,Food & Beverages,1.455,12
2021-07,Beans/Cowpea,Food & Beverages,9.93,13
2021-07,Millet,Food & Beverages,4.52,13
2021-08,Plantain,Food & Beverages,6.22,14
2021-08,Rice,Food & Beverages,6.43,14
2021-08,Pepper,Food & Beverages,4.095,10
2021-08,Tomatoes,Food & Beverages,3.52,15
2021-08,Yam,Food & Beverages,4.06,11
2021-08,Sorghum,Food & Beverages,3.73,10
2021-08,Onions,Food & Beverages,2.81,9
2021-08,Fish (fresh),Food & Beverages,12.02,11
2021-08,Maize,Food & Beverages,3.745,14
2021-08,Millet,Food & Beverages,4.23,14
2021-08,Eggs,Food & Beverages,2.5,9
2021-08,Chicken,Food & Beverages,8.084999999999999,10
2021-08,Cassava,Food & Beverages,1.54,11
2021-08,Beans/Cowpea,Food & Beverages,9.11,10
2021-09,Yam,Food & Beverages,3.03,13
2021-09,Tomatoes,Food & Beverages,4.1,13
2021-09,Sorghum,Food & Beverages,4.0,9
2021-09,Rice,Food & Beverages,6.61,13
2021-09,Plantain,Food & Beverages,5.83,10
2021-09,Pepper,Food & Beverages,3.25,12
2021-09,Onions,Food & Beverages,2.4699999999999998,12
2021-09,Maize,Food & Beverages,3.41,15
2021-09,Fish (fresh),Food & Beverages,7.82,7
2021-09,Eggs,Food & Beverages,2.6550000000000002,10
2021-09,Chicken,Food & Beverages,7.35,11
2021-09,Cassava,Food & Beverages,1.23,10
2021-09,Beans/Cowpea,Food & Beverages,7.78,9
2021-09,Millet,Food & Beverages,4.23,9
2021-10,Pepper,Food & Beverages,4.665,12
2021-10,Yam,Food & Beverages,3.24,13
2021-10,Tomatoes,Food & Beverages,4.0649999999999995,12
2021-10,Sorghum,Food & Beverages,3.91,9
2021-10,Rice,Food & Beverages,5.79,13
2021-10,Plantain,Food & Beverages,5.77,13
2021-10,Onions,Food & Beverages,2.55,7
2021-10,Beans/Cowpea,Food & Beverages,5.89,13
2021-10,Maize,Food & Beverages,3.41,13
2021-10,Fish (fresh),Food & Beverages,9.29,12
2021-10,Eggs,Food & Beverages,2.76,11
2021-10,Chicken,Food & Beverages,5.84,9
2021-10,Cassava,Food & Beverages,1.765,10
2021-10,Millet,Food & Beverages,4.2,11
2021-11,Pepper,Food & Beverages,4.635,10
2021-11,Yam,Food & Beverages,3.905,14
2021-11,Tomatoes,Food & Beverages,3.855,14
2021-11,Sorghum,Food & Beverages,3.31,9
2021-11,Rice,Food & Beverages,5.895,14
2021-11,Plantain,Food & Beverages,4.73,11
2021-11,Onions,Food & Beverages,3.46,10
2021-11,Millet,Food & Beverages,4.33,13
2021-11,Maize,Food & Beverages,3.5,15
2021-11,Fish (fresh),Food & Beverages,11.23,11
2021-11,Eggs,Food & Beverages,1.84,9
2021-11,Chicken,Food & Beverages,7.02,13
2021-11,Cassava,Food & Beverages,1.67,11
2021-11,Beans/Cowpea,Food & Beverages,5.96,7
2021-12,Tomatoes,Food & Beverages,3.81,17
2021-12,Sorghum,Food & Beverages,4.27,9
2021-12,Rice,Food & Beverages,5.695,16
2021-12,Plantain,Food & Beverages,4.82,11
2021-12,Pepper,Food & Beverages,2.7,12
2021-12,Onions,Food & Beverages,3.92,13
2021-12,Yam,Food & Beverages,4.0,15
2021-12,Maize,Food & Beverages,3.3,17
2021-12,Fish (fresh),Food & Beverages,7.85,10
2021-12,Eggs,Food & Beverages,2.03,9
2021-12,Chicken,Food & Beverages,7.8100000000000005,12
2021-12,Cassava,Food & Beverages,1.38,13
2021-12,Beans/Cowpea,Food & Beverages,4.7,13
2021-12,Millet,Food & Beverages,4.71,10
2022-01,Yam,Food & Beverages,3.11,13
2022-01,Tomatoes,Food & Beverages,4.0600000000000005,16
2022-01,Sorghum,Food & Beverages,3.9,11
2022-01,Rice,Food & Beverages,6.24,14
2022-01,Plantain,Food & Beverages,4.12,15
2022-01,Pepper,Food & Beverages,4.0600000000000005,12
2022-01,Onions,Food & Beverages,3.4749999999999996,14
2022-01,Millet,Food & Beverages,4.21,14
2022-01,Fish (fresh),Food & Beverages,7.84,11
2022-01,Eggs,Food & Beverages,1.9749999999999999,14
2022-01,Chicken,Food & Beverages,10.0,11
2022-01,Cassava,Food & Beverages,1.47,13
2022-01,Beans/Cowpea,Food & Beverages,10.0,11
2022-01,Maize,Food & Beverages,3.87,17
2022-02,Plantain,Food & Beverages,2.46,9
2022-02,Yam,Food & Beverages,3.21,9
2022-02,Tomatoes,Food & Beverages,2.29,8
2022-02,Sorghum,Food & Beverages,3.96,7
2022-02,Rice,Food & Beverages,5.53,11
2022-02,Pepper,Food & Beverages,5.13,6
2022-02,Onions,Food & Beverages,2.995,4
2022-02,Millet,Food & Beverages,3.7199999999999998,10
2022-02,Maize,Food & Beverages,3.13,9
2022-02,Fish (fresh),Food & Beverages,19.05,5
2022-02,Chicken,Food & Beverages,6.6,9
2022-02,Cassava,Food & Beverages,2.4450000000000003,4
2022-02,Beans/Cowpea,Food & Beverages,7.5,6
2022-03,Tomatoes,Food & Beverages,4.21,15
2022-03,Sorghum,Food & Beverages,5.14,11
2022-03,Rice,Food & Beverages,6.35,13
