source,cpi_category,product_name,price_ghc,unit,currency,url,scraped_at
Big Samps Market,Food & Beverages,Smoked Tilapia (1pc),35.0,,GHS,https://bigsampsmarket.com/product/smoked-tilapia/,2026-05-05T15:03:39.800931+00:00
Big Samps Market,Food & Beverages,Smoked Tuna (1 piece),55.0,1 piece,GHS,https://bigsampsmarket.com/product/smoked-tuna-1-piece/,2026-05-05T15:03:39.804067+00:00
Big Samps Market,Food & Beverages,Soft Chicken Thighs – 10kg,350.0,10kg,GHS,https://bigsampsmarket.com/product/10kg-chicken-thighs/,2026-05-05T15:03:39.810898+00:00
Big Samps Market,Food & Beverages,Tolo Beefi (1 Piece),2.0,1 Piece,GHS,https://bigsampsmarket.com/product/tolo-beefi-1-piece/,2026-05-05T15:03:39.815706+00:00
Big Samps Market,Food & Beverages,Turkey Wings,70.0,,GHS,https://bigsampsmarket.com/product/turkey-wings/,2026-05-05T15:03:46.644759+00:00
Big Samps Market,Food & Beverages,Wele 3 pieces,10.0,3 pieces,GHS,https://bigsampsmarket.com/product/wele-3-pieces/,2026-05-05T15:03:46.649027+00:00
Big Samps Market,Food & Beverages,4.5 litres Frytol,150.0,5 l,GHS,https://bigsampsmarket.com/product/4-5-litres-frytol/,2026-05-05T15:03:55.350023+00:00
Big Samps Market,Food & Beverages,5 Liter Oba Sunflower Oil,215.0,5 L,GHS,https://bigsampsmarket.com/product/5-liter-oba-sunflower-oil/,2026-05-05T15:03:55.353837+00:00
Big Samps Market,Food & Beverages,850ml Frytol,35.0,850ml,GHS,https://bigsampsmarket.com/product/850ml-frytol/,2026-05-05T15:03:55.357182+00:00
Big Samps Market,Food & Beverages,Coconut oil,70.0,,GHS,https://bigsampsmarket.com/product/coconut-oil/,2026-05-05T15:03:55.360083+00:00
Big Samps Market,Food & Beverages,Ena Pa Soy Sauce-1 Bottle,30.0,,GHS,https://bigsampsmarket.com/product/ena-pa-soy-sauce-1-bottle/,2026-05-05T15:03:55.363265+00:00
Big Samps Market,Food & Beverages,Mr Nutty Groundnut paste 350g,35.0,350g,GHS,https://bigsampsmarket.com/product/mr-nutty-groundnut-paste-350g/,2026-05-05T15:03:55.367439+00:00
Big Samps Market,Food & Beverages,Mr Nutty Groundnut paste 700g,55.0,700g,GHS,https://bigsampsmarket.com/product/mr-nutty-groundnut-paste/,2026-05-05T15:03:55.371924+00:00
Big Samps Market,Food & Beverages,Nkulenu Palm Soup Base,52.0,,GHS,https://bigsampsmarket.com/product/nkulenu-palm-soup-base/,2026-05-05T15:03:55.376777+00:00
Big Samps Market,Food & Beverages,Oyster Sauce,45.0,,GHS,https://bigsampsmarket.com/product/oyster-sauce/,2026-05-05T15:03:55.382431+00:00
Big Samps Market,Food & Beverages,Palm Soup Base,55.0,,GHS,https://bigsampsmarket.com/product/palm-soup-base/,2026-05-05T15:03:55.392802+00:00
Big Samps Market,Food & Beverages,Salsa Tomato Paste(400g),40.0,400g,GHS,https://bigsampsmarket.com/product/salsa-tomato-paste400g/,2026-05-05T15:03:55.400645+00:00
Big Samps Market,Food & Beverages,Sunflower Oil-Unoli,60.0,,GHS,https://bigsampsmarket.com/product/sunflower-oil-unoli/,2026-05-05T15:03:55.404254+00:00
Big Samps Market,Food & Beverages,Zomi Palm Oil (1 Litre),35.0,1 L,GHS,https://bigsampsmarket.com/product/zomi-palm-oil-1-liter/,2026-05-05T15:03:55.407437+00:00
Big Samps Market,Food & Beverages,Zomi Palm Oil (5 Litres),165.0,5 L,GHS,https://bigsampsmarket.com/product/zomi-palm-oil-5-litres/,2026-05-05T15:03:55.412388+00:00
